utilization.gpu [%], memory.used [MiB], timestamp
0, 415, 2024/06/09 19:11:34.551
0, 415, 2024/06/09 19:11:34.754
0, 415, 2024/06/09 19:11:34.955
0, 415, 2024/06/09 19:11:35.157
0, 415, 2024/06/09 19:11:35.359
0, 415, 2024/06/09 19:11:35.560
0, 415, 2024/06/09 19:11:35.763
0, 415, 2024/06/09 19:11:35.964
0, 415, 2024/06/09 19:11:36.166
0, 415, 2024/06/09 19:11:36.368
0, 415, 2024/06/09 19:11:36.569
0, 415, 2024/06/09 19:11:36.772
0, 415, 2024/06/09 19:11:36.973
0, 415, 2024/06/09 19:11:37.175
0, 415, 2024/06/09 19:11:37.377
0, 415, 2024/06/09 19:11:37.578
0, 415, 2024/06/09 19:11:37.780
0, 415, 2024/06/09 19:11:37.982
0, 415, 2024/06/09 19:11:38.184
0, 415, 2024/06/09 19:11:38.385
0, 415, 2024/06/09 19:11:38.587
0, 415, 2024/06/09 19:11:38.789
0, 415, 2024/06/09 19:11:38.991
0, 415, 2024/06/09 19:11:39.193
0, 415, 2024/06/09 19:11:39.394
0, 415, 2024/06/09 19:11:39.596
0, 415, 2024/06/09 19:11:39.798
0, 415, 2024/06/09 19:11:40.000
0, 415, 2024/06/09 19:11:40.201
0, 415, 2024/06/09 19:11:40.403
0, 415, 2024/06/09 19:11:40.605
0, 415, 2024/06/09 19:11:40.807
0, 415, 2024/06/09 19:11:41.009
0, 415, 2024/06/09 19:11:41.210
0, 415, 2024/06/09 19:11:41.412
0, 415, 2024/06/09 19:11:41.614
0, 415, 2024/06/09 19:11:41.816
0, 415, 2024/06/09 19:11:42.018
0, 415, 2024/06/09 19:11:42.219
0, 415, 2024/06/09 19:11:42.421
0, 415, 2024/06/09 19:11:42.623
0, 415, 2024/06/09 19:11:42.825
0, 415, 2024/06/09 19:11:43.026
0, 415, 2024/06/09 19:11:43.228
0, 415, 2024/06/09 19:11:43.430
0, 415, 2024/06/09 19:11:43.631
0, 415, 2024/06/09 19:11:43.834
0, 415, 2024/06/09 19:11:44.035
0, 415, 2024/06/09 19:11:44.237
0, 415, 2024/06/09 19:11:44.438
0, 415, 2024/06/09 19:11:44.640
0, 415, 2024/06/09 19:11:44.842
0, 415, 2024/06/09 19:11:45.044
0, 415, 2024/06/09 19:11:45.246
0, 415, 2024/06/09 19:11:45.447
0, 415, 2024/06/09 19:11:45.649
0, 415, 2024/06/09 19:11:45.851
0, 415, 2024/06/09 19:11:46.053
0, 415, 2024/06/09 19:11:46.255
0, 415, 2024/06/09 19:11:46.457
0, 415, 2024/06/09 19:11:46.658
0, 415, 2024/06/09 19:11:46.860
0, 415, 2024/06/09 19:11:47.062
0, 415, 2024/06/09 19:11:47.263
0, 415, 2024/06/09 19:11:47.465
0, 415, 2024/06/09 19:11:47.667
0, 415, 2024/06/09 19:11:47.869
0, 415, 2024/06/09 19:11:48.070
0, 415, 2024/06/09 19:11:48.272
0, 415, 2024/06/09 19:11:48.474
0, 415, 2024/06/09 19:11:48.675
12, 416, 2024/06/09 19:11:48.877
14, 416, 2024/06/09 19:11:49.080
2, 416, 2024/06/09 19:11:49.283
0, 416, 2024/06/09 19:11:49.486
0, 416, 2024/06/09 19:11:49.688
0, 416, 2024/06/09 19:11:49.891
0, 416, 2024/06/09 19:11:50.093
0, 416, 2024/06/09 19:11:50.294
0, 416, 2024/06/09 19:11:50.496
0, 416, 2024/06/09 19:11:50.698
0, 416, 2024/06/09 19:11:50.900
0, 416, 2024/06/09 19:11:51.102
0, 416, 2024/06/09 19:11:51.303
0, 416, 2024/06/09 19:11:51.505
0, 416, 2024/06/09 19:11:51.707
0, 416, 2024/06/09 19:11:51.909
0, 416, 2024/06/09 19:11:52.111
0, 416, 2024/06/09 19:11:52.313
0, 416, 2024/06/09 19:11:52.514
0, 416, 2024/06/09 19:11:52.716
0, 416, 2024/06/09 19:11:52.918
0, 416, 2024/06/09 19:11:53.120
0, 416, 2024/06/09 19:11:53.321
0, 416, 2024/06/09 19:11:53.523
3, 416, 2024/06/09 19:11:53.725
3, 410, 2024/06/09 19:11:53.928
0, 410, 2024/06/09 19:11:54.131
0, 410, 2024/06/09 19:11:54.333
0, 410, 2024/06/09 19:11:54.534
2, 438, 2024/06/09 19:11:54.737
33, 399, 2024/06/09 19:11:54.941
7, 399, 2024/06/09 19:11:55.143
7, 375, 2024/06/09 19:11:55.356
6, 392, 2024/06/09 19:11:55.557
2, 392, 2024/06/09 19:11:55.759
2, 400, 2024/06/09 19:11:55.964
12, 427, 2024/06/09 19:11:56.165
11, 391, 2024/06/09 19:11:56.366
8, 391, 2024/06/09 19:11:56.568
4, 394, 2024/06/09 19:11:56.770
4, 394, 2024/06/09 19:11:56.971
6, 452, 2024/06/09 19:11:57.172
13, 444, 2024/06/09 19:11:57.374
11, 418, 2024/06/09 19:11:57.575
6, 402, 2024/06/09 19:11:57.777
13, 423, 2024/06/09 19:11:57.978
9, 423, 2024/06/09 19:11:58.179
7, 415, 2024/06/09 19:11:58.381
6, 475, 2024/06/09 19:11:58.582
33, 468, 2024/06/09 19:11:58.786
24, 437, 2024/06/09 19:11:58.989
23, 421, 2024/06/09 19:11:59.192
32, 463, 2024/06/09 19:11:59.395
19, 463, 2024/06/09 19:11:59.598
20, 452, 2024/06/09 19:11:59.802
26, 476, 2024/06/09 19:12:00.005
26, 572, 2024/06/09 19:12:00.208
55, 513, 2024/06/09 19:12:00.412
5, 503, 2024/06/09 19:12:00.614
27, 463, 2024/06/09 19:12:00.819
24, 480, 2024/06/09 19:12:01.021
44, 491, 2024/06/09 19:12:01.224
11, 491, 2024/06/09 19:12:01.427
22, 469, 2024/06/09 19:12:01.631
6, 461, 2024/06/09 19:12:01.835
23, 445, 2024/06/09 19:12:02.038
11, 448, 2024/06/09 19:12:02.240
12, 448, 2024/06/09 19:12:02.443
12, 448, 2024/06/09 19:12:02.646
13, 448, 2024/06/09 19:12:02.850
18, 515, 2024/06/09 19:12:03.056
42, 516, 2024/06/09 19:12:03.259
26, 468, 2024/06/09 19:12:03.463
20, 460, 2024/06/09 19:12:03.665
12, 533, 2024/06/09 19:12:03.870
45, 519, 2024/06/09 19:12:04.073
26, 487, 2024/06/09 19:12:04.276
2, 495, 2024/06/09 19:12:04.478
24, 479, 2024/06/09 19:12:04.681
10, 482, 2024/06/09 19:12:04.885
12, 482, 2024/06/09 19:12:05.088
13, 482, 2024/06/09 19:12:05.291
13, 482, 2024/06/09 19:12:05.496
11, 484, 2024/06/09 19:12:05.700
10, 484, 2024/06/09 19:12:05.904
8, 485, 2024/06/09 19:12:06.107
5, 485, 2024/06/09 19:12:06.310
9, 485, 2024/06/09 19:12:06.513
13, 485, 2024/06/09 19:12:06.717
13, 517, 2024/06/09 19:12:06.920
36, 544, 2024/06/09 19:12:07.122
25, 516, 2024/06/09 19:12:07.325
2, 470, 2024/06/09 19:12:07.528
38, 438, 2024/06/09 19:12:07.733
22, 438, 2024/06/09 19:12:07.936
10, 414, 2024/06/09 19:12:08.138
17, 473, 2024/06/09 19:12:08.342
39, 473, 2024/06/09 19:12:08.544
7, 424, 2024/06/09 19:12:08.749
44, 416, 2024/06/09 19:12:08.951
12, 467, 2024/06/09 19:12:09.154
44, 448, 2024/06/09 19:12:09.357
30, 432, 2024/06/09 19:12:09.560
27, 480, 2024/06/09 19:12:09.765
41, 451, 2024/06/09 19:12:09.968
15, 469, 2024/06/09 19:12:10.171
19, 429, 2024/06/09 19:12:10.374
24, 421, 2024/06/09 19:12:10.578
11, 413, 2024/06/09 19:12:10.782
9, 437, 2024/06/09 19:12:10.985
21, 488, 2024/06/09 19:12:11.188
46, 450, 2024/06/09 19:12:11.391
28, 450, 2024/06/09 19:12:11.594
25, 498, 2024/06/09 19:12:11.800
29, 477, 2024/06/09 19:12:12.003
16, 503, 2024/06/09 19:12:12.210
21, 447, 2024/06/09 19:12:12.412
17, 448, 2024/06/09 19:12:12.616
13, 451, 2024/06/09 19:12:12.820
12, 451, 2024/06/09 19:12:13.023
48, 502, 2024/06/09 19:12:13.228
11, 486, 2024/06/09 19:12:13.433
21, 484, 2024/06/09 19:12:13.636
28, 460, 2024/06/09 19:12:13.840
43, 509, 2024/06/09 19:12:14.044
27, 498, 2024/06/09 19:12:14.247
29, 450, 2024/06/09 19:12:14.450
47, 501, 2024/06/09 19:12:14.653
3, 501, 2024/06/09 19:12:14.856
43, 471, 2024/06/09 19:12:15.059
44, 515, 2024/06/09 19:12:15.262
1, 515, 2024/06/09 19:12:15.464
9, 467, 2024/06/09 19:12:15.665
12, 478, 2024/06/09 19:12:15.867
5, 513, 2024/06/09 19:12:16.069
15, 541, 2024/06/09 19:12:16.270
11, 491, 2024/06/09 19:12:16.472
10, 515, 2024/06/09 19:12:16.673
0, 515, 2024/06/09 19:12:16.875
2, 515, 2024/06/09 19:12:17.077
1, 515, 2024/06/09 19:12:17.278
0, 515, 2024/06/09 19:12:17.481
5, 515, 2024/06/09 19:12:17.683
26, 568, 2024/06/09 19:12:17.887
25, 452, 2024/06/09 19:12:18.091
43, 400, 2024/06/09 19:12:18.295
27, 432, 2024/06/09 19:12:18.502
5, 432, 2024/06/09 19:12:18.705
6, 432, 2024/06/09 19:12:18.909
0, 432, 2024/06/09 19:12:19.112
4, 432, 2024/06/09 19:12:19.314
12, 482, 2024/06/09 19:12:19.517
38, 433, 2024/06/09 19:12:19.720
28, 430, 2024/06/09 19:12:19.925
40, 438, 2024/06/09 19:12:20.130
4, 438, 2024/06/09 19:12:20.333
6, 438, 2024/06/09 19:12:20.536
0, 438, 2024/06/09 19:12:20.740
7, 438, 2024/06/09 19:12:20.943
1, 438, 2024/06/09 19:12:21.146
1, 438, 2024/06/09 19:12:21.348
5, 438, 2024/06/09 19:12:21.551
33, 506, 2024/06/09 19:12:21.755
16, 468, 2024/06/09 19:12:21.958
22, 421, 2024/06/09 19:12:22.161
26, 426, 2024/06/09 19:12:22.364
17, 485, 2024/06/09 19:12:22.568
42, 487, 2024/06/09 19:12:22.774
30, 455, 2024/06/09 19:12:22.977
28, 499, 2024/06/09 19:12:23.180
41, 483, 2024/06/09 19:12:23.383
12, 485, 2024/06/09 19:12:23.585
23, 471, 2024/06/09 19:12:23.790
24, 455, 2024/06/09 19:12:23.993
39, 490, 2024/06/09 19:12:24.196
34, 455, 2024/06/09 19:12:24.399
30, 447, 2024/06/09 19:12:24.602
8, 439, 2024/06/09 19:12:24.806
28, 470, 2024/06/09 19:12:25.009
25, 531, 2024/06/09 19:12:25.212
54, 483, 2024/06/09 19:12:25.415
28, 477, 2024/06/09 19:12:25.617
26, 453, 2024/06/09 19:12:25.822
8, 469, 2024/06/09 19:12:26.025
29, 459, 2024/06/09 19:12:26.229
23, 561, 2024/06/09 19:12:26.432
49, 516, 2024/06/09 19:12:26.635
7, 522, 2024/06/09 19:12:26.838
28, 482, 2024/06/09 19:12:27.041
24, 482, 2024/06/09 19:12:27.244
22, 568, 2024/06/09 19:12:27.446
46, 513, 2024/06/09 19:12:27.649
12, 477, 2024/06/09 19:12:27.850
9, 528, 2024/06/09 19:12:28.052
13, 512, 2024/06/09 19:12:28.253
2, 506, 2024/06/09 19:12:28.455
8, 490, 2024/06/09 19:12:28.656
8, 498, 2024/06/09 19:12:28.858
12, 535, 2024/06/09 19:12:29.059
9, 479, 2024/06/09 19:12:29.261
7, 495, 2024/06/09 19:12:29.462
10, 554, 2024/06/09 19:12:29.665
41, 546, 2024/06/09 19:12:29.868
25, 466, 2024/06/09 19:12:30.071
25, 482, 2024/06/09 19:12:30.274
10, 514, 2024/06/09 19:12:30.477
43, 525, 2024/06/09 19:12:30.682
10, 525, 2024/06/09 19:12:30.885
15, 470, 2024/06/09 19:12:31.088
46, 422, 2024/06/09 19:12:31.290
23, 422, 2024/06/09 19:12:31.493
3, 406, 2024/06/09 19:12:31.696
9, 441, 2024/06/09 19:12:31.900
41, 451, 2024/06/09 19:12:32.103
41, 419, 2024/06/09 19:12:32.306
21, 403, 2024/06/09 19:12:32.509
2, 470, 2024/06/09 19:12:32.712
40, 451, 2024/06/09 19:12:32.917
38, 419, 2024/06/09 19:12:33.120
31, 419, 2024/06/09 19:12:33.322
3, 403, 2024/06/09 19:12:33.525
12, 446, 2024/06/09 19:12:33.728
36, 438, 2024/06/09 19:12:33.934
15, 405, 2024/06/09 19:12:34.137
28, 431, 2024/06/09 19:12:34.340
24, 497, 2024/06/09 19:12:34.542
42, 440, 2024/06/09 19:12:34.746
25, 434, 2024/06/09 19:12:34.949
16, 444, 2024/06/09 19:12:35.152
35, 454, 2024/06/09 19:12:35.355
16, 477, 2024/06/09 19:12:35.559
39, 477, 2024/06/09 19:12:35.764
2, 432, 2024/06/09 19:12:35.966
36, 436, 2024/06/09 19:12:36.169
15, 436, 2024/06/09 19:12:36.372
3, 436, 2024/06/09 19:12:36.575
6, 436, 2024/06/09 19:12:36.779
3, 484, 2024/06/09 19:12:36.982
42, 497, 2024/06/09 19:12:37.187
31, 459, 2024/06/09 19:12:37.390
28, 443, 2024/06/09 19:12:37.592
3, 443, 2024/06/09 19:12:37.796
3, 443, 2024/06/09 19:12:38.000
5, 507, 2024/06/09 19:12:38.203
36, 478, 2024/06/09 19:12:38.407
20, 504, 2024/06/09 19:12:38.610
29, 464, 2024/06/09 19:12:38.814
43, 515, 2024/06/09 19:12:39.017
12, 499, 2024/06/09 19:12:39.219
24, 496, 2024/06/09 19:12:39.422
6, 464, 2024/06/09 19:12:39.625
25, 464, 2024/06/09 19:12:39.829
8, 440, 2024/06/09 19:12:40.032
19, 464, 2024/06/09 19:12:40.235
9, 470, 2024/06/09 19:12:40.439
10, 470, 2024/06/09 19:12:40.642
43, 533, 2024/06/09 19:12:40.846
32, 489, 2024/06/09 19:12:41.050
15, 465, 2024/06/09 19:12:41.253
16, 460, 2024/06/09 19:12:41.456
1, 460, 2024/06/09 19:12:41.658
2, 466, 2024/06/09 19:12:41.862
24, 505, 2024/06/09 19:12:42.065
12, 513, 2024/06/09 19:12:42.268
9, 523, 2024/06/09 19:12:42.471
17, 539, 2024/06/09 19:12:42.674
39, 515, 2024/06/09 19:12:42.877
28, 491, 2024/06/09 19:12:43.080
23, 493, 2024/06/09 19:12:43.283
9, 453, 2024/06/09 19:12:43.486
29, 531, 2024/06/09 19:12:43.689
41, 546, 2024/06/09 19:12:43.893
35, 445, 2024/06/09 19:12:44.096
20, 413, 2024/06/09 19:12:44.300
15, 389, 2024/06/09 19:12:44.503
26, 443, 2024/06/09 19:12:44.706
44, 466, 2024/06/09 19:12:44.909
30, 431, 2024/06/09 19:12:45.112
20, 431, 2024/06/09 19:12:45.315
11, 407, 2024/06/09 19:12:45.518
27, 472, 2024/06/09 19:12:45.721
38, 461, 2024/06/09 19:12:45.924
28, 430, 2024/06/09 19:12:46.127
8, 426, 2024/06/09 19:12:46.330
20, 418, 2024/06/09 19:12:46.534
26, 473, 2024/06/09 19:12:46.738
12, 509, 2024/06/09 19:12:46.941
15, 545, 2024/06/09 19:12:47.144
26, 533, 2024/06/09 19:12:47.347
34, 473, 2024/06/09 19:12:47.550
31, 393, 2024/06/09 19:12:47.758
23, 414, 2024/06/09 19:12:47.961
